,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,69.1,92,100,29.66,PF,1573511011
1,ponta do sol,-20.63,-46.0,72.37,77,84,11.18,BR,1573511012
2,clyde river,70.47,-68.59,14.0,92,90,29.97,CA,1573511012
3,ivybridge,50.39,-3.92,44.01,87,20,6.93,GB,1573511012
4,georgetown,6.8,-58.16,84.2,79,75,6.93,GY,1573510889
5,jamestown,-33.21,138.6,48.85,70,36,16.04,AU,1573511013
6,albany,42.65,-73.75,43.0,74,90,3.53,US,1573510828
7,hermanus,-34.42,19.24,64.0,95,100,3.0,ZA,1573511013
8,deputatskiy,69.3,139.9,-0.13,91,99,1.21,RU,1573511014
9,cape town,-33.93,18.42,64.0,93,75,5.82,ZA,1573510971
10,castro,-42.48,-73.76,62.6,72,29,8.05,CL,1573511014
11,khatanga,71.98,102.47,1.65,97,100,2.24,RU,1573511014
12,chuy,-33.69,-53.46,64.72,73,32,13.89,UY,1573511014
13,kapaa,22.08,-159.32,82.4,74,1,9.17,US,1573511015
14,ushuaia,-54.81,-68.31,51.8,62,20,20.8,AR,1573511015
15,kiunga,-6.12,141.3,72.1,99,100,1.7,PG,1573511015
16,hilo,19.71,-155.08,87.8,52,1,10.29,US,1573510804
17,east london,-33.02,27.91,69.17,83,100,27.65,ZA,1573511016
18,severo-kurilsk,50.68,156.12,30.18,86,99,4.34,RU,1573511016
19,atuona,-9.8,-139.03,80.2,64,55,5.91,PF,1573511016
20,zhezkazgan,47.8,67.71,27.19,26,12,6.15,KZ,1573511016
21,bredasdorp,-34.53,20.04,64.0,88,100,14.99,ZA,1573511016
22,punta arenas,-53.16,-70.91,51.8,71,3,8.05,CL,1573511017
23,paita,-5.09,-81.11,62.6,100,16,11.41,PE,1573511017
24,galesong,-5.32,119.37,77.0,88,20,4.7,ID,1573511017
25,aklavik,68.22,-135.01,24.8,85,90,11.41,CA,1573511017
26,la ronge,55.1,-105.3,15.8,47,5,10.29,CA,1573511018
27,saint-philippe,45.36,-73.48,24.01,85,90,6.93,CA,1573511018
28,tuktoyaktuk,69.44,-133.03,15.8,78,90,19.46,CA,1573511018
29,vaini,15.34,74.49,66.4,82,0,4.41,IN,1573511018
30,port augusta,-32.49,137.76,59.0,62,75,17.22,AU,1573511019
31,yellowknife,62.45,-114.38,12.99,71,75,5.82,CA,1573510953
32,dingle,11.0,122.67,72.64,94,95,4.68,PH,1573511019
33,bambous virieux,-20.34,57.76,75.2,94,40,3.36,MU,1573511019
34,kulhudhuffushi,6.62,73.07,82.58,67,100,2.42,MV,1573511019
35,new norfolk,-42.78,147.06,55.4,47,40,20.8,AU,1573511020
36,qasigiannguit,68.82,-51.19,34.95,51,100,13.8,GL,1573511020
37,joensuu,62.6,29.76,35.01,98,90,9.17,FI,1573511020
38,san cristobal,14.68,-86.92,79.16,63,57,3.58,HN,1573511020
39,victoria,5.28,115.24,82.0,83,75,4.7,BN,1573510830
40,ayacucho,-13.16,-74.23,66.2,37,75,23.04,PE,1573510906
41,hualmay,-11.1,-77.61,70.03,67,83,8.39,PE,1573511021
42,qaqortoq,60.72,-46.03,32.0,76,66,12.75,GL,1573511021
43,kavieng,-2.57,150.8,78.67,83,100,3.38,PG,1573511022
44,touros,-5.2,-35.46,78.8,78,20,8.05,BR,1573511022
45,mayo,63.59,-135.9,-4.01,76,90,3.36,CA,1573511022
46,qaanaaq,77.48,-69.36,5.47,54,0,4.0,GL,1573511022
47,ribeira grande,38.52,-28.7,60.8,87,40,4.7,PT,1573511022
48,kahta,37.78,38.62,51.8,34,100,6.93,TR,1573511023
49,shiozawa,37.03,138.85,55.99,87,100,14.36,JP,1573511023
50,egvekinot,66.32,-179.17,21.61,94,100,12.12,RU,1573510933
51,kamenka,48.03,28.7,37.0,90,46,5.91,MD,1573511023
52,lorengau,-2.02,147.27,80.96,77,100,5.7,PG,1573511024
53,airai,-8.93,125.41,68.09,31,0,4.83,TL,1573511025
54,hasaki,35.73,140.83,50.0,93,20,8.05,JP,1573511025
55,isangel,-19.55,169.27,78.8,54,40,12.75,VU,1573511025
56,muroto,33.37,134.14,48.2,81,20,4.7,JP,1573511025
57,chokurdakh,70.62,147.9,4.23,91,100,2.75,RU,1573511025
58,austintown,41.1,-80.76,44.6,86,90,10.29,US,1573511026
59,busselton,-33.64,115.35,57.99,43,0,15.68,AU,1573511026
60,cherskiy,68.75,161.3,28.22,72,100,3.49,RU,1573511026
61,port alfred,-33.59,26.89,62.01,97,100,10.0,ZA,1573511027
62,zhanaozen,43.35,52.85,45.39,34,0,14.94,KZ,1573511027
63,mataura,-46.19,168.86,51.03,54,5,3.98,NZ,1573511027
64,ilulissat,69.22,-51.1,34.95,51,100,13.8,GL,1573511028
65,souillac,45.6,-0.6,42.8,93,100,2.24,FR,1573511028
66,san vicente,-0.59,-80.41,77.0,78,20,13.87,EC,1573511028
67,pevek,69.7,170.27,12.7,86,100,2.21,RU,1573511028
68,kodiak,39.95,-94.76,21.2,53,1,24.16,US,1573511029
69,khani,41.96,42.96,44.6,81,33,8.05,GE,1573511029
70,barrow,-38.31,-60.23,75.52,37,98,10.07,AR,1573511029
71,saint-pierre,48.95,4.24,41.0,93,40,11.41,FR,1573511029
72,suez,29.97,32.54,75.33,35,0,9.15,EG,1573511029
73,arraial do cabo,-22.97,-42.02,71.6,100,90,4.7,BR,1573511030
74,san carlos de bariloche,-41.13,-71.31,71.6,30,20,21.92,AR,1573511030
75,karaton,-6.34,106.1,78.8,83,40,3.36,ID,1573511030
76,codrington,-28.95,153.24,77.0,60,0,2.24,AU,1573511030
77,vao,59.1,26.19,34.92,89,92,6.42,EE,1573511030
78,moerai,-22.43,-151.33,72.9,79,14,21.5,PF,1573511031
79,maralal,1.1,36.7,66.47,75,100,18.34,KE,1573511031
80,basoko,1.23,23.61,70.59,98,100,3.91,CD,1573511031
81,cidreira,-30.17,-50.22,69.26,82,80,23.0,BR,1573511032
82,hithadhoo,-0.6,73.08,81.84,78,64,11.74,MV,1573511032
83,thompson,55.74,-97.86,-0.41,64,20,6.93,CA,1573511032
84,yendi,9.45,0.0,84.24,40,100,1.59,GH,1573511032
85,holme,56.11,10.17,41.0,86,100,10.29,DK,1573511033
86,darhan,49.49,105.92,9.91,74,100,17.65,MN,1573511033
87,nabire,-3.36,135.5,70.86,79,98,2.24,ID,1573511033
88,ambon,47.55,-2.56,52.0,87,84,4.7,FR,1573511033
89,port blair,11.67,92.75,81.7,69,84,5.77,IN,1573511034
90,port elizabeth,39.31,-74.98,61.0,66,1,3.31,US,1573511034
91,bluff,-23.58,149.07,70.16,73,0,5.84,AU,1573511034
92,san miguel,-34.54,-58.72,77.0,73,76,11.41,AR,1573511034
93,tianpeng,28.88,112.34,67.35,39,100,2.3,CN,1573511035
94,lebu,8.96,38.73,51.51,70,34,2.93,ET,1573511035
95,severnoye,54.09,52.54,29.88,97,96,6.87,RU,1573511035
96,nhulunbuy,-12.18,136.78,82.4,74,40,11.41,AU,1573511035
97,avera,33.19,-82.53,69.8,52,1,7.31,US,1573511035
98,college,64.86,-147.8,25.0,73,90,2.71,US,1573511036
99,bara,10.41,10.6,82.54,38,59,2.08,NG,1573511036
100,anadyr,64.73,177.51,33.8,80,75,13.42,RU,1573511036
101,carnarvon,-30.97,22.13,62.71,30,0,13.96,ZA,1573511036
102,saskylakh,71.97,114.09,-6.53,94,100,5.21,RU,1573511037
103,butaritari,3.07,172.79,77.14,84,100,2.93,KI,1573511037
104,hobart,-42.88,147.33,55.4,47,40,20.8,AU,1573510828
105,tomatlan,19.93,-105.25,86.32,56,100,5.06,MX,1573511038
106,ambilobe,-13.19,49.05,74.03,75,100,4.81,MG,1573511038
107,pascagoula,30.37,-88.56,73.4,78,90,5.82,US,1573510827
108,mareeba,-16.99,145.42,80.01,57,20,13.87,AU,1573511038
109,komsomolskiy,67.55,63.78,-6.69,93,35,6.06,RU,1573511039
110,antalaha,-14.9,50.28,76.84,82,99,12.86,MG,1573511039
111,zirandaro,18.45,-100.98,92.7,48,13,0.54,MX,1573511040
112,serik,36.92,31.1,62.6,45,0,10.29,TR,1573511040
113,port macquarie,-31.43,152.91,72.0,77,90,6.93,AU,1573511040
114,fairbanks,64.84,-147.72,25.0,73,90,2.91,US,1573511026
115,yamada,36.58,137.08,54.0,93,75,3.36,JP,1573511041
116,tecoanapa,16.99,-99.26,87.8,74,40,4.7,MX,1573511041
117,tromso,69.65,18.96,17.6,78,87,17.22,NO,1573511041
118,victoria point,-27.58,153.3,79.0,57,20,12.75,AU,1573511041
119,esperance,-33.86,121.89,53.6,76,90,3.36,AU,1573511042
120,sur,22.57,59.53,75.87,34,0,14.88,OM,1573511042
121,geraldton,49.72,-86.95,3.2,59,75,6.93,CA,1573511042
122,padang,-0.92,100.36,66.67,95,100,1.19,ID,1573511042
123,nsunga,-1.13,31.39,69.8,88,20,3.13,TZ,1573511043
124,invermere,50.51,-116.03,24.01,73,100,4.0,CA,1573511043
125,hun,50.34,4.87,39.99,86,87,12.75,BE,1573511043
126,beringovskiy,63.05,179.32,34.48,98,100,21.92,RU,1573511044
127,atar,20.52,-13.05,72.25,20,0,8.63,MR,1573511044
128,portland,43.66,-70.25,37.4,86,90,12.75,US,1573511044
129,katherine,-14.47,132.26,84.2,62,46,10.29,AU,1573511045
130,harper,30.3,-99.24,37.4,64,90,17.22,US,1573511045
131,pangody,65.85,74.49,3.04,95,100,13.65,RU,1573511045
132,lavrentiya,65.58,-170.99,31.77,88,100,14.76,RU,1573511046
133,puerto ayora,-0.74,-90.35,78.8,61,0,18.34,EC,1573511046
134,faya,18.39,42.45,60.8,58,0,6.96,SA,1573511046
135,tiksi,71.64,128.87,-4.29,90,100,5.26,RU,1573511047
136,north bend,43.41,-124.22,64.0,72,1,6.93,US,1573511047
137,mar del plata,-46.43,-67.52,63.0,52,0,5.95,AR,1573511047
138,okhotsk,59.36,143.24,3.6,74,7,9.71,RU,1573511047
139,thinadhoo,0.53,72.93,82.35,76,4,9.42,MV,1573511047
140,sarangani,5.4,125.46,83.35,75,100,7.47,PH,1573511048
141,paamiut,61.99,-49.67,31.89,84,98,13.62,GL,1573511048
142,faanui,-16.48,-151.75,78.96,81,40,17.2,PF,1573511048
143,san patricio,-26.98,-56.83,83.79,55,8,5.28,PY,1573511049
144,richards bay,-28.77,32.06,71.53,91,100,21.05,ZA,1573511049
145,porbandar,21.64,69.61,80.46,62,0,4.76,IN,1573510848
146,kirensk,57.78,108.12,-3.97,85,100,7.36,RU,1573511049
147,norman wells,65.28,-126.83,17.6,72,75,16.11,CA,1573510906
148,saint george,39.45,22.34,57.2,87,75,1.7,GR,1573511050
149,nikolskoye,59.7,30.79,39.0,93,90,15.66,RU,1573511050
150,goulburn,-34.75,149.72,75.0,21,0,5.01,AU,1573511050
151,half moon bay,37.46,-122.43,82.0,43,1,4.7,US,1573511050
152,pong,4.23,10.63,73.8,96,100,3.02,CM,1573511051
153,jijiga,9.35,42.8,60.12,67,0,9.75,ET,1573511051
154,tabou,4.42,-7.36,77.52,87,100,3.22,CI,1573511051
155,shenjiamen,29.96,122.3,66.54,55,0,8.59,CN,1573511052
156,naze,5.43,7.07,77.0,94,75,3.96,NG,1573511052
157,avarua,-21.21,-159.78,78.8,74,4,14.99,CK,1573511052
158,concordia,-31.4,-58.02,78.01,53,100,8.01,AR,1573510986
159,tadine,-21.55,167.88,73.87,61,5,9.73,NC,1573511053
160,at-bashi,41.17,75.81,10.27,39,0,5.44,KG,1573511053
161,jalu,29.03,21.55,76.71,22,100,20.2,LY,1573511053
162,yerbogachen,61.28,108.01,-17.31,95,91,7.78,RU,1573511054
163,kazerun,29.62,51.65,60.66,23,0,1.66,IR,1573511054
164,ampanihy,-24.69,44.75,68.32,82,95,14.2,MG,1573511054
165,laguna,16.17,-88.94,84.2,74,75,4.7,BZ,1573511054
166,katsuura,33.93,134.5,59.0,72,20,4.7,JP,1573511055
167,tyup,42.73,78.36,19.71,46,0,8.72,KG,1573511055
168,bambanglipuro,-7.95,110.28,73.9,89,57,3.31,ID,1573511055
169,mount gambier,-37.83,140.78,53.6,62,75,17.22,AU,1573511055
170,guerrero negro,27.97,-114.04,73.42,50,0,11.54,MX,1573511055
171,alice springs,-23.7,133.88,80.6,8,1,8.05,AU,1573511056
172,hervey bay,-25.3,152.85,78.01,65,90,11.41,AU,1573511056
173,waddan,29.16,16.14,66.15,45,100,15.32,LY,1573511056
174,leningradskiy,69.38,178.42,24.15,96,99,5.91,RU,1573511057
175,rantepao,-2.97,119.9,65.14,97,100,2.13,ID,1573511057
176,presidencia roque saenz pena,-26.79,-60.44,90.52,33,46,8.12,AR,1573511057
177,isla vista,34.41,-119.86,78.8,26,1,5.82,US,1573511057
178,evensk,61.92,159.24,26.26,95,100,3.67,RU,1573511058
179,christchurch,-43.53,172.64,55.4,58,99,11.41,NZ,1573511058
180,ozernovskiy,51.5,156.52,33.96,71,92,3.91,RU,1573511058
181,buala,-8.15,159.59,80.58,82,33,10.31,SB,1573511058
182,puerto ayacucho,5.66,-67.63,86.0,70,40,2.24,CO,1573511059
183,aitape,-3.15,142.36,80.02,73,100,6.35,PG,1573511059
184,uglovskoye,51.36,80.19,12.92,78,56,11.39,RU,1573511059
185,tuatapere,-46.13,167.69,53.06,43,63,1.99,NZ,1573511060
186,sorland,67.67,12.69,30.2,68,40,11.41,NO,1573511060
187,kabare,-1.65,29.38,53.44,93,100,1.48,RW,1573511060
188,kwinana,-32.25,115.77,59.0,54,0,20.8,AU,1573511060
189,takoradi,4.89,-1.75,81.12,85,100,12.93,GH,1573511061
190,inhambane,-23.87,35.38,75.34,80,26,15.57,MZ,1573511061
191,griffith,-34.29,146.06,78.8,15,33,23.04,AU,1573511061
192,santa luzia,-19.77,-43.85,86.0,47,75,13.87,BR,1573510771
193,umm kaddadah,13.6,26.69,76.33,12,61,8.3,SD,1573511061
194,puerto del rosario,28.5,-13.86,69.8,73,40,19.46,ES,1573511062
195,grindavik,63.84,-22.43,37.4,93,90,9.17,IS,1573511062
196,guilin,25.28,110.29,53.6,100,40,0.29,CN,1573511062
197,nishihara,35.74,139.53,57.99,87,1,3.36,JP,1573511062
198,pimenta bueno,-11.68,-61.19,78.44,91,99,3.27,BR,1573511063
199,torbay,47.66,-52.73,48.0,87,90,25.28,CA,1573511063
200,zhigansk,66.77,123.37,-23.77,88,39,6.64,RU,1573511063
201,tobane,-21.91,28.04,75.04,69,96,1.25,BW,1573511063
202,riyadh,24.63,46.72,66.2,55,79,2.24,SA,1573510895
203,basco,40.33,-91.2,21.99,67,90,23.04,US,1573511064
204,north las vegas,36.2,-115.11,80.01,11,1,5.82,US,1573510906
205,yungay,-9.14,-77.74,46.96,81,79,2.19,PE,1573511064
206,novikovo,51.15,37.89,45.32,90,17,8.55,RU,1573511064
207,quimper,48.0,-4.1,48.2,93,100,9.17,FR,1573511064
208,borogontsy,62.67,131.17,-19.31,98,100,4.52,RU,1573511065
209,mabaruma,8.2,-59.78,80.06,91,90,3.27,GY,1573511065
210,rocha,-34.48,-54.34,62.4,76,100,12.62,UY,1573511006
211,marzuq,14.4,46.47,66.22,76,0,2.04,YE,1573511065
212,margate,-43.03,147.26,55.4,47,40,20.8,AU,1573511066
213,jiazi,19.61,110.49,75.2,88,75,11.18,CN,1573511066
214,pochutla,15.74,-96.47,87.8,66,40,9.17,MX,1573511066
215,sao filipe,14.9,-24.5,75.25,78,98,18.92,CV,1573511066
216,provideniya,64.42,-173.23,35.6,98,90,15.66,RU,1573511066
217,lisakovsk,52.55,62.49,29.34,87,91,10.96,KZ,1573511067
218,saint-louis,16.03,-16.5,77.0,65,33,6.93,SN,1573511067
219,dikson,73.51,80.55,5.83,96,97,5.26,RU,1573511067
220,palpa,-14.53,-75.19,70.84,50,83,10.76,PE,1573511068
221,vredendal,-31.68,18.49,61.25,78,0,5.84,ZA,1573511068
222,hounde,11.5,-3.52,88.12,31,86,2.75,BF,1573511068
223,wanaka,-44.7,169.14,45.37,56,0,0.63,NZ,1573511068
224,carutapera,-1.2,-46.02,81.88,77,0,16.91,BR,1573511069
225,tazovskiy,67.47,78.7,-3.38,85,100,7.47,RU,1573511069
226,bethel,60.79,-161.76,39.2,80,90,8.05,US,1573511069
227,sembakung,3.82,117.25,78.8,94,75,4.32,ID,1573511069
228,camacha,33.08,-16.33,68.0,64,75,18.34,PT,1573511070
229,marawi,8.0,124.29,73.0,94,100,5.99,PH,1573511070
230,bama,24.14,107.25,60.33,80,67,4.38,CN,1573511070
231,sibu,2.29,111.83,77.0,100,75,2.21,MY,1573511070
232,kerewan,13.49,-16.09,73.4,88,60,5.82,GM,1573511071
233,poum,41.28,20.71,41.5,80,45,5.32,MK,1573511071
234,cumpas,30.0,-109.78,69.46,51,51,5.64,MX,1573511071
235,tombouctou,16.77,-3.01,78.44,8,33,13.42,ML,1573511071
236,saint-francois,46.42,3.91,42.01,86,75,2.24,FR,1573511072
237,namatanai,-3.66,152.44,80.91,77,100,2.95,PG,1573511072
238,bathsheba,13.22,-59.52,82.4,74,20,14.99,BB,1573511072
239,manono,-7.3,27.4,71.96,82,53,3.38,CD,1573511072
240,los llanos de aridane,28.66,-17.92,69.8,73,90,18.34,ES,1573511073
241,namibe,-15.19,12.15,72.68,77,5,7.94,AO,1573511073
242,gairo,-6.14,36.87,65.05,96,3,2.71,TZ,1573511073
243,katobu,-4.94,122.53,74.44,92,1,2.55,ID,1573511073
244,iisaku,59.1,27.31,37.63,85,92,10.18,EE,1573511073
245,gillette,44.29,-105.5,25.0,62,1,4.7,US,1573511023
246,broome,52.47,1.45,43.0,81,100,16.11,GB,1573511074
247,usak,38.67,29.41,62.01,86,23,3.0,TR,1573511074
248,oussouye,12.49,-16.54,77.0,88,100,2.24,SN,1573511074
249,cururupu,-1.82,-44.87,81.1,68,29,5.35,BR,1573511075
250,dawei,14.07,98.19,78.58,81,2,6.69,MM,1573511075
251,fortuna,40.6,-124.16,73.99,68,20,12.75,US,1573510797
252,virginia beach,36.85,-75.98,64.0,51,40,10.29,US,1573511051
253,la romana,18.43,-68.97,80.6,83,75,4.7,DO,1573510924
254,saint-joseph,43.56,6.97,53.01,93,100,2.24,FR,1573511076
255,whitecourt,54.14,-115.68,17.6,85,90,4.7,CA,1573511076
256,jacareacanga,-6.22,-57.76,78.8,88,18,2.24,BR,1573511076
257,lashio,22.93,97.75,60.53,98,1,1.57,MM,1573511076
258,payo,-3.75,103.64,67.86,94,100,3.22,ID,1573511077
259,vardo,39.62,-77.74,64.0,39,1,10.29,US,1573511077
260,hambantota,6.12,81.12,77.0,100,75,2.24,LK,1573511077
261,cherdyn,60.4,56.48,33.76,99,100,3.33,RU,1573511077
262,miguel calmon,-11.43,-40.6,77.36,40,67,2.98,BR,1573511078
263,zyryanka,65.73,150.89,-2.24,97,94,5.12,RU,1573511078
264,saint-ambroise,48.56,-71.32,17.01,78,90,2.77,CA,1573511078
265,port hardy,50.7,-127.42,46.4,100,90,20.8,CA,1573511002
266,mikhaylovka,52.96,103.29,5.72,73,8,7.96,RU,1573511079
267,mahebourg,-20.41,57.7,75.2,94,40,3.36,MU,1573510794
268,tura,64.27,100.22,-20.58,94,100,3.53,RU,1573511079
269,vila franca do campo,37.72,-25.43,62.6,82,40,5.82,PT,1573511079
270,jadu,31.95,12.03,52.77,53,100,20.29,LY,1573511080
